,session_length,discount,user_id,successful,mean_price,min_price,max_price,mean_rating,min_rating,max_rating,prev_success_ratio
session_length,1.0,0.07515097921858853,-0.005564603765132447,0.15161779150678067,-0.043408478551525874,-0.2736475978159242,0.15189324295152273,-0.11373701053003603,-0.6222876142688591,0.45900216712973774,0.03547380602492288
discount,0.07515097921858853,1.0,-0.0002617066838070079,0.45727351912845793,-0.009075290047754071,-0.00433635940488075,-0.0070228717113245825,-0.011525298929464389,-0.005468593706802104,-0.011412242619612533,-0.0011261813468543623
user_id,-0.005564603765132447,-0.0002617066838070079,1.0,-0.025727011604563844,0.004565760137959472,0.004054924756137965,0.0036287640523861176,-0.007211686984127689,-0.0031965418400836036,0.00047606463134350005,-0.09355138247981293
successful,0.15161779150678067,0.45727351912845793,-0.025727011604563844,1.0,0.0008976963618382923,0.005186260905807806,0.005610685739892918,0.0125877696282364,0.007708230182024027,0.0008654318229254178,0.17323078842352052
mean_price,-0.043408478551525874,-0.009075290047754071,0.004565760137959472,0.0008976963618382923,1.0,0.7410528843734838,0.9648631502838205,-0.10332556708064991,-0.08046038671067256,0.20296836978263252,0.003979140555244528
min_price,-0.2736475978159242,-0.00433635940488075,0.004054924756137965,0.005186260905807806,0.7410528843734838,1.0,0.6419599204424383,0.08681634410509512,-0.02270342249636907,0.11893893408930639,-0.0005917328393272608
max_price,0.15189324295152273,-0.0070228717113245825,0.0036287640523861176,0.005610685739892918,0.9648631502838205,0.6419599204424383,1.0,-0.06750772096608734,-0.22262366918680732,0.33529667705425154,0.0053411653181688725
mean_rating,-0.11373701053003603,-0.011525298929464389,-0.007211686984127689,0.0125877696282364,-0.10332556708064991,0.08681634410509512,-0.06750772096608734,1.0,0.4338052286120902,0.30103745830737905,0.0016082453119905772
min_rating,-0.6222876142688591,-0.005468593706802104,-0.0031965418400836036,0.007708230182024027,-0.08046038671067256,-0.02270342249636907,-0.22262366918680732,0.4338052286120902,1.0,-0.3826387731530143,-6.0839860755006535e-05
max_rating,0.45900216712973774,-0.011412242619612533,0.00047606463134350005,0.0008654318229254178,0.20296836978263252,0.11893893408930639,0.33529667705425154,0.30103745830737905,-0.3826387731530143,1.0,0.01336735287960963
prev_success_ratio,0.03547380602492288,-0.0011261813468543623,-0.09355138247981293,0.17323078842352052,0.003979140555244528,-0.0005917328393272608,0.0053411653181688725,0.0016082453119905772,-6.0839860755006535e-05,0.01336735287960963,1.0
